"";"x";"freq"
"1";"0";2
"2";"0-1";3
"3";"000";1
"4";"0574-59952097";2
"5";"1";174
"6";"1-2";4
"7";"1-3";1
"8";"1.";143
"9";"1.3";1
"10";"1.5";1
"11";"10";10
"12";"10-12";1
"13";"10.";15
"14";"11";7
"15";"11.";7
"16";"12";3
"17";"12.";7
"18";"12.60";1
"19";"13";5
"20";"13.";1
"21";"13917391897";1
"22";"14";1
"23";"15";2
"24";"173";2
"25";"18";3
"26";"2";189
"27";"2-3";3
"28";"2-5";5
"29";"2.";134
"30";"2.2";3
"31";"20";2
"32";"2000";2
"33";"2003";1
"34";"2003.";1
"35";"2005";1
"36";"2007";1
"37";"2008";1
"38";"2011";2
"39";"2013";2
"40";"2015";1
"41";"2016";16
"42";"2017";4
"43";"2018";5
"44";"21";1
"45";"2107";2
"46";"211";3
"47";"28";2
"48";"3";198
"49";"3-4";2
"50";"3-5";16
"51";"3.";129
"52";"31";1
"53";"35";2
"54";"360";1
"55";"365";24
"56";"4";127
"57";"4-5";1
"58";"4.";105
"59";"40";1
"60";"400";1
"61";"5";125
"62";"5-10";2
"63";"5.";80
"64";"50";2
"65";"500";1
"66";"500-";1
"67";"520";1
"68";"6";67
"69";"6.";50
"70";"6.30";1
"71";"6112";1
"72";"6380";1
"73";"7";33
"74";"7.";30
"75";"700";4
"76";"8";43
"77";"8.";26
"78";"80";1
"79";"8272";2
"80";"86";2
"81";"9";17
"82";"9.";17
"83";"985";2
"84";"a";240
"85";"A";32
"86";"ABAP";1
"87";"abilities";2
"88";"Abilities";1
"89";"ability";41
"90";"Ability";32
"91";"able";20
"92";"Able";10
"93";"about";8
"94";"About";6
"95";"above";16
"96";"Above";1
"97";"abreast";1
"98";"absolutely";3
"99";"Accept";1
"100";"acceptance";3
"101";"Acceptance";1
"102";"accepted";1
"103";"access";2
"104";"Access";6
"105";"accessories";1
"106";"Accomplish";2
"107";"accomplishing";1
"108";"accordance";4
"109";"according";11
"110";"According";8
"111";"accordingly";2
"112";"account";15
"113";"Account";4
"114";"Accountabilities";1
"115";"ACCOUNTABILITIES";1
"116";"accountability";1
"117";"Accountability";2
"118";"accountable";2
"119";"Accountable";1
"120";"accounting";3
"121";"Accounting";5
"122";"accounts";14
"123";"Accounts";1
"124";"accuracy";2
"125";"Accuracy";1
"126";"accurate";4
"127";"accurately";1
"128";"achieve";19
"129";"Achieve";6
"130";"achieving";9
"131";"acknowledge";1
"132";"Acquire";1
"133";"acquired";1
"134";"across";16
"135";"act";1
"136";"Act";1
"137";"action";8
"138";"actionable";2
"139";"actions";6
"140";"activation";1
"141";"active";4
"142";"Active";8
"143";"actively";3
"144";"Actively";1
"145";"ActiveMQ";1
"146";"activities";47
"147";"activity";2
"148";"Activity";1
"149";"Acts";1
"150";"actual";7
"151";"acumen";1
"152";"ad";5
"153";"AD";2
"154";"adapt";1
"155";"adaptability";1
"156";"Adaptability";1
"157";"adapted";1
"158";"add";4
"159";"Add";1
"160";"added";5
"161";"Adding";7
"162";"addition";1
"163";"additional";5
"164";"Additional";1
"165";"address";2
"166";"addressing";1
"167";"adequate";1
"168";"ADFS";5
"169";"adhere";1
"170";"adhered";1
"171";"adherence";3
"172";"adjust";1
"173";"adjustment";6
"174";"admin";2
"175";"administer";1
"176";"administrates";1
"177";"administration";12
"178";"Administration";3
"179";"administrative";1
"180";"administrator";2
"181";"Administrator";1
"182";"Adminstrator";1
"183";"Ado";2
"184";"ADO";1
"185";"Adobe";1
"186";"adoption";1
"187";"ads";1
"188";"advanced";4
"189";"Advanced";3
"190";"advances";1
"191";"advantage";8
"192";"advertising";5
"193";"Advertising";2
"194";"advice";3
"195";"advise";1
"196";"Advise";1
"197";"Advising";2
"198";"advisor";2
"199";"affiliated";3
"200";"after";6
"201";"After";1
"202";"against";3
"203";"agencies";2
"204";"agency";3
"205";"agents";4
"206";"aggressive";3
"207";"Aggressive";3
"208";"agile";3
"209";"agreed";12
"210";"agreement";1
"211";"Agreements";1
"212";"AI";2
"213";"aid";1
"214";"AIF";1
"215";"aim";2
"216";"Air";1
"217";"AirWatch";1
"218";"AIX";2
"219";"AJAX";6
"220";"ALA";1
"221";"alaworld";1
"222";"align";1
"223";"Align";1
"224";"aligned";3
"225";"alignment";1
"226";"aligns";1
"227";"Aligns";1
"228";"alike";2
"229";"all";46
"230";"All";1
"231";"allied";1
"232";"allocated";2
"233";"along";2
"234";"Along";1
"235";"also";9
"236";"Also";3
"237";"alternative";1
"238";"ambiguous";1
"239";"ambitious";10
"240";"Ambitious";6
"241";"ameliorate";1
"242";"America";3
"243";"Americas";1
"244";"among";2
"245";"amounts";1
"246";"amp";3
"247";"an";49
"248";"An";12
"249";"analyse";4
"250";"Analyse";3
"251";"analysis";47
"252";"Analysis";2
"253";"analyst";1
"254";"Analyst";2
"255";"analytical";16
"256";"Analytical";7
"257";"analytics";4
"258";"analyze";9
"259";"Analyze";3
"260";"analyzer";1
"261";"analyzing";1
"262";"and";1520
"263";"And";1
"264";"AND";1
"265";"andability";1
"266";"andy";1
"267";"AngularJS";3
"268";"annual";13
"269";"Annual";1
"270";"Answer";2
"271";"any";9
"272";"anything";1
"273";"AP";1
"274";"APAC";1
"275";"apartment";1
"276";"API";7
"277";"APJ";1
"278";"app";4
"279";"App";4
"280";"APP";6
"281";"appetite";1
"282";"Appliance";1
"283";"applicable";2
"284";"applicants";2
"285";"Applicants";2
"286";"application";25
"287";"Application";5
"288";"applications";15
"289";"Applications";1
"290";"applies";1
"291";"Applies";3
"292";"apply";3
"293";"applying";1
"294";"appointments";1
"295";"appraisal";3
"296";"approach";4
"297";"approaches";1
"298";"appropriate";14
"299";"appropriateness";1
"300";"approvals";1
"301";"approved";1
"302";"Apps";1
"303";"APSS";1
"304";"aptitude";1
"305";"AR";1
"306";"Architect";1
"307";"architecting";6
"308";"architecture";4
"309";"are";75
"310";"ARE";1
"311";"area";33
"312";"Area";9
"313";"areas";3
"314";"Ariba";2
"315";"arises";1
"316";"around";6
"317";"arrange";1
"318";"Arrange";6
"319";"articles";2
"320";"articulate";2
"321";"as";116
"322";"As";4
"323";"AS";1
"324";"Asia";19
"325";"asp";2
"326";"Asp";10
"327";"ASP";36
"328";"aspects";3
"329";"assess";2
"330";"Assess";2
"331";"assessment";2
"332";"Assessments";1
"333";"asset";1
"334";"Asset";1
"335";"assets";2
"336";"assign";1
"337";"Assign";1
"338";"assigned";17
"339";"assigning";1
"340";"assignment";1
"341";"assimilation";1
"342";"assist";4
"343";"Assist";7
"344";"assistant";1
"345";"Assistant";1
"346";"Assisting";2
"347";"assists";1
"348";"Assists";2
"349";"associated";1
"350";"associates";1
"351";"association";1
"352";"assortments";1
"353";"assure";4
"354";"assured";3
"355";"ASTAR";1
"356";"at";19
"357";"At";18
"358";"AT";1
"359";"Attain";1
"360";"Attend";3
"361";"attendance";1
"362";"attending";3
"363";"attention";9
"364";"Attention";1
"365";"attitude";5
"366";"attract";2
"367";"attracted";1
"368";"Attractive";1
"369";"Attributes";1
"370";"audit";3
"371";"auditing";2
"372";"audits";1
"373";"Austria";3
"374";"authority";8
"375";"automation";11
"376";"Automation";1
"377";"Automotive";2
"378";"Autonomous";1
"379";"availability";1
"380";"available";1
"381";"average";1
"382";"avoiding";1
"383";"awareness";6
"384";"aways";1
"385";"AX";26
"386";"Axapta";1
"387";"Axure";1
"388";"Azure";8
"389";"b";2
"390";"B";22
"391";"B2B";20
"392";"B2C";1
"393";"BA";5
"394";"bachelor";1
"395";"Bachelor";23
"396";"Bachelors";2
"397";"back";4
"398";"background";5
"399";"BACKGROUND";1
"400";"backlog";2
"401";"backup";1
"402";"backups";1
"403";"Baidu";1
"404";"Balance";1
"405";"Balancers";2
"406";"bank";3
"407";"Bank";1
"408";"banking";1
"409";"Banking";1
"410";"banner";1
"411";"Barcode";1
"412";"base";2
"413";"Base";5
"414";"based";13
"415";"Based";2
"416";"basic";1
"417";"Basic";4
"418";"basis";7
"419";"BCAs";1
"420";"BCU";1
"421";"be";70
"422";"Be";10
"423";"BE";6
"424";"become";10
"425";"been";3
"426";"before";2
"427";"BEGINNING";1
"428";"behavior";9
"429";"Beijing";14
"430";"Being";1
"431";"Beliefs";1
"432";"believed";1
"433";"below";2
"434";"Below";1
"435";"benefit";1
"436";"best";14
"437";"Best";1
"438";"BetaBag";2
"439";"better";1
"440";"between";4
"441";"beyond";4
"442";"bi";1
"443";"BI";15
"444";"bidding";3
"445";"big";4
"446";"Big";1
"447";"billable";2
"448";"billing";2
"449";"Biology";1
"450";"Biotechnology";1
"451";"biz";1
"452";"Biztalk";5
"453";"Blogs";2
"454";"blueprint";1
"455";"BMC";3
"456";"boarding";2
"457";"bodies";2
"458";"boilerplates";1
"459";"Bonus";1
"460";"booking";1
"461";"booth";1
"462";"bootstamp";1
"463";"Bootstrap";1
"464";"both";27
"465";"BPM";5
"466";"BPO";2
"467";"brand";20
"468";"Brand";2
"469";"branding";3
"470";"brands";3
"471";"BRDs";1
"472";"Brief";2
"473";"briefing";6
"474";"Bring";1
"475";"bringing";1
"476";"broad";1
"477";"Broad";1
"478";"brochures";1
"479";"Browser";2
"480";"BS";5
"481";"BSc";1
"482";"BSE";3
"483";"BU";1
"484";"budget";36
"485";"budgeting";1
"486";"budgets";4
"487";"bug";3
"488";"BUG";1
"489";"bugs";3
"490";"build";9
"491";"Build";7
"492";"building";7
"493";"Building";1
"494";"business";170
"495";"Business";20
"496";"businesses";2
"497";"busy";1
"498";"but";10
"499";"buyers";1
"500";"by";62
"501";"By";6
"502";"c";2
"503";"C";6
"504";"c#";2
"505";"C#";67
"506";"C++";1
"507";"C4C";14
"508";"CA";6
"509";"caf";1
"510";"calculations";2
"511";"call";9
"512";"Call";2
"513";"called";1
"514";"calling";3
"515";"calls";3
"516";"Calm";1
"517";"campaign";7
"518";"campaigns";20
"519";"can";34
"520";"Can";7
"521";"candidate";17
"522";"Candidate";1
"523";"candidates";7
"524";"Candidates";2
"525";"cannot";1
"526";"Cantonese";1
"527";"capabilities";6
"528";"capability";2
"529";"Capability";1
"530";"capable";2
"531";"Capable";1
"532";"capacity";2
"533";"capital";1
"534";"Capital";1
"535";"capture";2
"536";"care";4
"537";"career";1
"538";"Cartodb";1
"539";"CartoDB";1
"540";"case";7
"541";"Case";1
"542";"cases";4
"543";"cash";2
"544";"Cash";1
"545";"Cat";1
"546";"CAT";1
"547";"catalogue";1
"548";"Caterpillar";1
"549";"Cause";1
"550";"CBS";1
"551";"CC";2
"552";"ccifc";1
"553";"CCM";5
"554";"CCRT";1
"555";"CDD";1
"556";"CDU";1
"557";"CE";2
"558";"Celanese";5
"559";"center";2
"560";"Center";3
"561";"Centralised";1
"562";"centre";5
"563";"Centre";2
"564";"certification";4
"565";"Certification";1
"566";"Certifications";1
"567";"certified";1
"568";"CET";7
"569";"CET4";8
"570";"chain";1
"571";"challenges";8
"572";"Challenges";7
"573";"CHALLENGES";1
"574";"challenging";9
"575";"Challenging";1
"576";"champion";1
"577";"chance";1
"578";"change";8
"579";"Change";1
"580";"changes";9
"581";"changing";1
"582";"channel";3
"583";"channels";22
"584";"characterized";7
"585";"characters";1
"586";"charge";2
"587";"chat";2
"588";"cheaper";1
"589";"check";4
"590";"Chemical";1
"591";"chemicals";1
"592";"Chief";3
"593";"china";3
"594";"China";52
"595";"Chinese";22
"596";"choices";1
"597";"circumstance";6
"598";"circumstances";1
"599";"CIRCUMSTANCES";1
"600";"Cisco";3
"601";"claim";1
"602";"claims";1
"603";"clarification";1
"604";"clarifies";1
"605";"clarify";1
"606";"Class";1
"607";"classification";2
"608";"clean";3
"609";"clear";4
"610";"clearances";1
"611";"clearly";1
"612";"Clearly";1
"613";"client";45
"614";"Client";3
"615";"clients";27
"616";"climate";1
"617";"close";15
"618";"Close";7
"619";"closed";1
"620";"closely";12
"621";"Closely";2
"622";"closing";2
"623";"cloud";5
"624";"Cloud";21
"625";"clustered";1
"626";"CMS";1
"627";"cn";6
"628";"CNPPA";1
"629";"Co";1
"630";"coach";2
"631";"code";2
"632";"codes";1
"633";"coding";3
