总序号,性别,年龄,职业,学历,收入,玩家游戏情况,游戏进入,游戏偏好
1,1,5,4,3,4,2,3,3
2,2,2,1,3,1,2,1,3
3,2,1,1,2,1,4,1,5
4,1,2,1,5,1,4,2,4
5,1,3,5,3,2,2,3,5
6,1,4,5,4,4,4,2,3
7,1,3,1,5,1,4,2,1
8,1,1,1,1,2,4,2,2
9,2,2,1,5,1,4,1,3
10,1,4,2,4,2,4,3,4
11,1,1,5,2,2,4,4,1
12,1,3,7,5,5,4,3,3
13,2,5,3,5,3,1,1,1
14,1,1,1,1,5,2,1,5
15,1,2,2,NA,4,4,3,5
16,NA,2,1,5,1,4,2,3
17,2,2,4,4,3,4,1,3
18,1,3,2,2,2,4,2,3
19,1,1,1,1,1,3,2,6
20,1,1,1,1,1,2,2,4
21,1,2,2,3,3,3,2,1
22,2,2,1,4,1,1,1,6
23,2,1,1,2,1,4,2,2
24,2,3,5,5,5,2,3,5
25,1,2,7,2,NA,3,5,3
26,1,5,7,5,5,1,5,6
27,2,1,1,1,3,3,3,4
28,1,4,2,5,2,3,2,3
29,1,3,6,2,1,2,3,2
30,2,5,2,4,3,1,1,3
31,2,3,6,2,1,4,1,3
32,NA,1,1,1,1,2,1,3
33,NA,3,5,3,3,2,3,6
34,1,1,1,2,1,2,3,4
35,2,3,2,4,3,4,1,4
36,1,4,4,5,4,4,2,2
37,NA,4,2,4,2,1,1,3
38,1,1,1,2,1,3,5,1
39,1,2,1,3,1,2,3,3
40,1,2,1,5,1,2,1,3
41,1,2,1,4,1,2,3,3
42,2,2,1,3,1,2,3,3
43,1,2,1,3,1,1,3,3
44,1,1,5,5,1,4,2,4
45,2,2,6,2,1,1,1,2
46,2,3,5,2,2,2,1,1
47,1,4,4,5,5,3,2,4
48,1,3,4,5,3,3,4,6
49,2,3,3,5,4,2,1,3
50,1,2,1,4,1,2,2,5
51,1,2,1,5,1,4,1,2
52,1,4,5,2,3,2,3,2
53,1,4,5,3,3,2,2,3
54,NA,2,1,4,1,1,1,3
55,1,1,1,2,1,4,2,3
56,2,2,6,3,1,1,3,3
57,2,2,1,5,2,4,3,4
58,1,1,1,1,5,4,5,4
59,1,2,1,5,1,4,2,4
60,2,2,2,2,3,4,3,3
61,1,4,5,2,3,2,3,1
62,1,2,1,3,NA,2,2,3
63,1,2,1,3,1,3,1,5
64,2,2,1,5,1,1,1,4
65,2,4,2,5,5,1,3,2
66,NA,1,1,2,1,1,1,1
67,1,3,2,4,3,4,5,3
68,2,NA,3,5,3,1,3,2
69,2,3,2,3,2,1,3,3
70,2,2,1,5,1,4,1,1
71,2,2,1,5,1,4,1,5
72,1,3,4,5,3,2,3,4
73,1,2,1,3,1,3,3,2
74,1,2,2,4,3,4,3,1
75,1,2,1,5,NA,2,1,5
76,1,5,2,4,4,2,3,3
77,NA,3,4,4,3,4,3,2
78,1,5,2,4,4,2,1,3
79,2,2,1,5,1,3,1,4
80,1,1,1,3,1,1,2,2
81,2,1,1,1,1,1,5,6
82,1,2,3,1,1,1,2,3
83,1,2,2,2,2,2,2,3
84,2,3,5,2,2,2,3,3
85,2,3,1,5,1,1,1,3
86,2,2,1,4,1,2,3,3
87,1,1,2,1,NA,1,1,1
88,1,2,1,4,1,4,3,4
89,1,4,3,5,5,2,2,1
90,1,3,4,5,3,2,2,1
91,NA,2,2,4,3,2,2,2
92,1,2,1,4,1,2,3,5
93,1,3,2,4,3,2,5,1
94,1,1,1,2,1,4,2,1
95,1,2,1,5,1,4,3,3
96,1,2,1,3,1,4,3,3
97,2,3,6,3,1,3,1,2
98,1,4,3,2,3,2,3,2
99,2,5,7,3,1,4,3,2
100,2,2,2,2,3,1,1,4
101,1,1,1,1,1,2,1,5
102,1,2,7,4,1,3,3,3
103,1,2,7,1,2,2,1,2
104,2,4,5,5,2,1,1,2
105,1,4,2,4,2,3,3,3
106,1,3,2,4,5,3,5,3
107,NA,2,1,5,1,2,3,3
108,1,1,1,2,1,2,3,1
109,1,3,5,4,3,4,3,2
110,2,4,2,5,3,1,1,3
111,1,1,1,1,2,4,2,4
112,2,1,1,1,1,4,1,1
113,1,4,3,3,4,2,5,2
114,2,2,1,5,1,1,1,4
115,1,3,2,5,3,3,3,6
116,2,2,1,4,1,4,3,3
117,2,1,1,2,1,2,1,4
118,2,2,5,3,3,2,3,2
119,2,2,7,2,4,2,3,1
120,1,1,1,2,4,2,2,3
121,NA,1,1,1,2,2,1,2
122,2,2,5,4,1,4,1,3
123,2,4,5,2,1,1,3,4
124,1,1,1,2,1,4,2,5
125,1,1,1,2,1,4,3,2
126,NA,1,1,2,2,2,2,1
127,1,4,2,5,4,4,3,3
128,2,1,1,1,1,2,3,3
129,1,4,5,2,1,2,5,6
130,1,3,4,4,3,2,3,3
131,1,1,1,1,1,1,4,3
132,2,3,3,2,4,3,1,2
133,2,3,2,4,3,2,3,4
134,2,5,3,2,4,1,1,1
135,1,2,1,3,1,4,2,4
136,2,1,1,1,1,3,1,1
137,1,1,1,2,NA,1,2,3
138,1,NA,1,4,NA,4,3,1
139,1,3,5,2,1,2,1,2
140,1,2,5,4,NA,4,3,5
141,2,1,1,1,3,4,1,5
142,1,5,2,3,3,2,3,2
143,1,3,3,5,4,4,1,3
144,2,1,1,1,1,1,1,2
145,1,4,7,3,3,2,2,6
146,NA,2,1,3,1,4,1,1
147,1,1,1,1,1,4,3,3
148,1,2,6,4,3,3,3,5
149,1,2,1,3,1,3,3,4
150,2,5,6,2,1,3,1,2
151,1,4,2,4,NA,2,3,4
152,2,3,5,2,1,4,3,5
153,1,3,3,5,4,2,3,1
154,1,2,7,1,1,4,3,5
155,1,1,1,2,1,2,4,5
156,1,3,6,5,3,3,2,3
157,1,2,1,3,1,2,4,1
158,NA,1,1,1,1,3,4,5
159,1,2,1,4,1,4,2,3
160,1,4,4,5,3,4,3,4
161,1,4,2,4,4,2,5,2
162,1,1,1,1,NA,2,2,3
163,2,2,1,3,1,4,3,3
164,1,3,7,4,2,4,3,2
165,1,2,1,5,1,2,1,4
166,1,3,6,1,1,3,3,2
167,1,1,1,1,1,4,3,3
168,NA,4,4,5,3,2,1,3
169,2,3,5,3,2,2,1,2
170,1,4,2,3,2,2,2,4
171,1,4,7,4,3,4,3,3
172,1,1,2,2,1,2,5,6
173,2,3,6,1,1,3,1,2
174,1,4,7,5,3,2,1,2
175,2,3,6,2,2,1,3,3
176,1,1,1,2,1,4,2,3
177,NA,3,2,5,3,4,5,1
178,1,4,5,3,3,3,2,3
179,1,3,3,4,3,2,3,2
180,1,1,1,1,1,2,2,5
181,1,2,2,3,3,3,3,1
182,1,2,1,5,1,3,3,4
183,2,3,5,5,1,2,3,1
184,2,2,1,4,1,4,1,3
185,2,2,7,4,4,1,1,1
186,2,3,2,5,4,3,3,1
187,1,2,1,3,1,1,1,4
188,2,1,1,2,1,1,1,3
189,2,1,1,2,1,4,4,3
190,1,2,1,5,2,4,3,5
191,NA,3,7,3,2,1,1,1
192,1,2,1,5,1,4,2,3
193,1,2,1,4,1,2,2,4
194,1,5,4,5,4,2,3,2
195,1,2,1,5,1,2,3,1
196,1,2,1,5,1,4,2,1
197,1,1,1,1,1,2,2,3
198,1,2,1,3,1,4,1,3
199,1,2,7,2,5,4,5,6
200,1,1,1,2,1,2,3,5
201,1,2,4,3,2,4,4,5
202,1,1,1,1,1,2,3,1
203,1,3,6,4,3,2,2,1
204,1,4,2,5,3,3,4,5
205,1,NA,1,5,3,3,3,4
206,1,3,2,4,3,2,3,3
207,1,2,6,2,1,1,4,3
208,2,2,6,3,2,1,3,3
209,1,4,3,4,NA,3,3,2
210,1,2,6,2,4,1,3,6
211,1,2,1,4,1,2,3,5
212,2,2,1,4,3,4,3,2
213,NA,1,1,1,1,1,3,5
214,NA,3,4,5,3,2,3,3
215,1,2,5,2,3,3,4,3
216,1,3,4,4,3,2,3,3
217,1,4,3,3,NA,2,3,3
218,1,2,1,2,1,2,2,5
219,1,4,4,5,4,4,3,1
220,2,1,1,2,1,4,1,3
221,1,2,1,4,1,2,3,2
222,2,4,5,3,4,4,3,3
223,1,1,1,1,1,1,4,5
224,1,2,3,4,3,1,2,5
225,1,2,6,2,4,2,2,1
226,1,3,4,4,4,4,3,2
227,1,2,1,5,1,3,5,5
228,1,1,1,2,1,2,2,2
229,1,3,7,2,4,2,3,3
230,1,2,1,5,1,4,2,2
231,1,5,2,4,3,1,3,4
232,1,2,1,5,1,2,2,2
233,1,1,1,2,1,4,4,5
234,1,4,5,5,3,2,5,3
235,1,3,2,5,3,4,2,2
236,1,2,1,2,NA,3,2,2
237,1,3,2,3,4,2,3,3
238,1,3,3,3,5,1,2,3
239,1,2,1,4,1,2,2,4
240,1,1,1,1,1,4,3,2
241,1,2,1,3,NA,2,4,3
242,1,4,4,5,5,2,3,3
243,1,3,6,5,1,2,1,2
244,1,2,6,2,NA,4,3,2
245,2,1,4,5,5,1,1,2
246,1,2,1,3,1,2,1,6
247,1,NA,5,2,3,2,3,3
248,1,3,4,5,4,3,2,3
249,1,5,7,5,1,2,4,5
250,1,2,1,5,1,2,2,2
251,1,4,2,4,3,4,3,5
252,1,2,5,2,3,4,2,3
253,1,2,1,4,1,4,3,5
254,1,4,5,4,3,2,2,3
255,1,1,1,2,1,4,1,2
256,2,3,2,3,3,1,3,2
257,2,3,2,4,3,3,1,1
258,1,4,4,4,4,2,3,3
259,2,2,1,5,1,2,3,3
260,1,2,1,3,1,4,2,3
261,1,2,1,4,1,3,5,2
262,1,4,2,4,3,4,3,5
263,1,2,1,5,2,2,2,3
264,1,3,5,3,4,3,4,2
265,1,1,1,1,1,4,1,3
266,1,4,3,5,5,4,3,5
267,1,1,1,3,2,4,1,4
268,2,2,1,5,1,3,3,1
269,1,NA,2,4,4,1,3,3
270,1,1,7,1,1,2,2,3
271,2,2,1,5,1,4,1,2
272,2,4,7,2,2,2,3,3
273,1,3,2,5,4,4,5,2
274,1,3,6,2,1,2,5,6
275,1,3,2,5,5,2,1,5
276,2,1,7,3,2,4,5,4
277,1,1,5,5,5,4,5,5
278,2,2,1,3,1,2,1,3
279,1,2,1,1,1,3,5,5
280,1,3,1,5,2,2,3,1
281,2,1,1,1,1,1,3,4
282,1,3,6,2,1,4,3,2
283,1,1,1,1,1,1,2,5
284,2,2,5,2,3,2,3,3
285,1,3,1,5,1,4,3,3
286,1,1,1,1,1,4,2,5
287,NA,3,2,4,3,3,3,3
288,2,2,1,2,1,4,3,4
289,1,1,1,1,1,3,5,2
290,1,1,1,2,1,2,2,5
291,1,4,2,4,3,4,2,5
292,2,2,7,3,1,2,5,2
293,2,2,1,5,1,2,1,3
294,1,4,2,2,4,2,3,4
295,2,3,7,5,2,3,3,1
296,1,1,1,2,1,4,3,1
297,1,2,1,5,1,2,2,3
298,1,2,2,4,2,1,2,1
299,2,1,1,1,1,2,1,5
300,1,1,5,2,1,3,1,5
301,2,2,1,3,1,4,5,1
302,2,2,2,3,3,2,1,1
303,1,1,1,2,1,2,2,3
304,2,2,1,5,1,4,3,3
305,1,1,1,2,1,2,1,1
306,1,2,2,4,3,2,3,4
307,1,2,3,5,NA,3,5,3
308,1,1,5,2,2,1,2,6
309,1,1,1,1,1,2,3,2
310,1,1,1,2,1,2,2,1
311,1,3,2,5,4,4,3,2
312,1,2,1,3,1,4,1,1
313,1,4,6,2,1,4,2,4
314,1,2,1,4,1,1,3,3
315,1,2,5,2,3,2,3,4
316,2,1,1,2,1,4,3,5
317,2,2,4,5,5,4,3,6
318,2,5,7,5,5,3,5,5
319,1,4,3,2,5,4,3,4
320,1,2,1,3,NA,4,3,3
321,1,3,1,5,1,2,5,2
