Rank,Shirt,Name,Pos.,Team,Spike,Block,Serve,Total
1,10,Kim Yeon-Koung,OS,KOR,178,11,8,197
2,8,Obmochaeva Nataliya,OP,RUS,137,20,4,161
3,19,Boskovic Tijana,OP,SRB,131,20,8,159
4,1,Nagaoka Miyu,OP,JPN,129,9,18,156
5,8,Koga Sarina,OS,JPN,120,14,16,150
6,14,Moim Mercy,OS,KEN,128,8,10,146
7,9,Mihajlovic Brankica,OS,SRB,113,21,8,142
7,15,Kosheleva Tatiana,OS,RUS,117,23,2,142
9,2,Zhu Ting,OS,CHN,113,25,3,141
10,4,Kim Hee-Jin,MB,KOR,119,14,3,136
11,9,Zhang Changning,OS,CHN,99,13,21,133
12,16,Pea Isabel Yonkaira Paola,OS,DOM,108,6,11,125
13,15,Ortiz Karla,OS,PER,98,9,10,117
14,17,Mambru Casilla Gina Altagracia,OP,DOM,101,6,9,116
15,9,Regalado Katherine,OP,PER,90,7,16,113
16,18,Matienzo Linares Sulian Caridad,OS,CUB,98,7,7,112
17,14,Fawcett Nicole,OP,USA,85,21,4,110
18,14,Rivera Brens Prisilla,OS,DOM,80,10,14,104
19,15,Stevanovic Jovana,MB,SRB,68,22,13,103
20,2,Gracia Gonzalez Regla Rainierys,OS,CUB,82,13,7,102
21,15,Khadambi Brackcides,MB,KEN,76,17,8,101
22,16,Rasic Milena,MB,SRB,63,24,12,99
23,13,Olemar Katherinne,OS,PER,84,5,9,98
24,8,Zeng Chunlei,OP,CHN,71,14,10,95
25,1,Shcherban Yana,OS,RUS,80,9,4,93
25,3,Kimura Saori,OS,JPN,74,8,11,93
27,21,Dixon Tetori,MB,USA,58,22,10,90
28,3,Rojas Orta Alena,MB,CUB,57,28,3,88
29,10,Sosa Emilce,MB,ARG,57,22,7,86
30,21,Otake Riho,MB,JPN,59,18,8,85
31,16,Akinradewo Foluke,MB,USA,60,13,11,84
32,10,Larson-Burbach Jordan,OS,USA,66,4,10,80
32,19,Alvarez Hernandez Jennifer Yanet,OS,CUB,71,6,3,80
34,6,Yang Junjing,MB,CHN,53,19,2,74
34,25,Lowe Karsta,OP,USA,65,6,3,74
36,16,Jepngetich Ruth,MB,KEN,44,21,8,73
37,6,Lescay Cajigal Daymara,MB,CUB,36,28,8,72
37,17,Yan Ni,MB,CHN,43,16,13,72
